dataset,rel_rs,rs,fold,N1,N2,F1,F2
pc,21,70,4,0.7070535951354715,0.9617977528089887,0.8500177028038056,0.9321601632236675
pc,22,71,0,0.7113257623030287,0.9640449438202248,0.8787551352191152,0.9038265306122449
pc,22,71,1,0.6820095438911683,0.9422222222222222,0.8593778325513587,0.9321601632236675
pc,22,71,2,0.70401809718566,0.9711111111111111,0.8756126838211293,0.899770466717674
pc,22,71,3,0.6975971917733905,0.9555555555555556,0.8689038852498864,0.9278245345575108
pc,22,71,4,0.7034337175367712,0.9617977528089887,0.8224759108721874,0.9250191277735271
pc,23,74,0,0.698902229866025,0.9573033707865168,0.8411450168731431,0.934438775510204
pc,23,74,1,0.7001426358896502,0.9755555555555555,0.8993069625114719,0.8786023973476154
pc,23,74,2,0.6916879612234033,0.9644444444444444,0.8594654673041212,0.9306299413414946
pc,23,74,3,0.702684747674482,0.9533333333333334,0.8644703418021246,0.9324152002040296
pc,23,74,4,0.6984517791998605,0.9617977528089887,0.8402061861950715,0.8949247640907931
pc,24,76,0,0.7079915130403347,0.9617977528089887,0.8978725444708506,0.9214285714285714
pc,24,76,1,0.7002514396176528,0.9644444444444444,0.8670454061036929,0.931395052282581
pc,24,76,2,0.6958489216210405,0.9577777777777777,0.8904310842816141,0.9342004590665647
pc,24,76,3,0.6868146253627582,0.9533333333333334,0.8111562130889036,0.8982402448355011
pc,24,76,4,0.7033011860117212,0.9573033707865168,0.835508715636425,0.9290997194593216
pc,25,82,0,0.7009217960148724,0.9483146067415731,0.8948071324853965,0.9173469387755102
pc,25,82,1,0.7027255070068721,0.96,0.9002016598204023,0.9255292017342515
pc,25,82,2,0.6902971702634662,0.9622222222222222,0.7742285655108897,0.903085947462382
pc,25,82,3,0.7011600200260711,0.9622222222222222,0.8932097643969088,0.9296097934200459
pc,25,82,4,0.6996128451800692,0.9550561797752809,0.8258253268184803,0.933180311145116
pc,26,83,0,0.7036507759758747,0.9617977528089887,0.8941954611442303,0.9012755102040816
pc,26,83,1,0.6879017181122343,0.96,0.8841382789157056,0.9324152002040296
pc,26,83,2,0.7003916084582142,0.9444444444444444,0.8436369642782292,0.9301198673807702
pc,26,83,3,0.7018427506563388,0.9511111111111111,0.8524073326079212,0.8870186176995665
pc,26,83,4,0.7007123343301043,0.9640449438202248,0.830056933178967,0.931395052282581
pc,27,86,0,0.69608035735574,0.9595505617977528,0.8909458977932985,0.9339285714285714
pc,27,86,1,0.7088203356258019,0.9533333333333334,0.814991352291772,0.9334353481254782
pc,27,86,2,0.6975108195575974,0.9644444444444444,0.8683419126979272,0.933180311145116
pc,27,86,3,0.6869011823856283,0.9555555555555556,0.8816176568516444,0.9245090538128029
