dataset,rel_rs,rs,fold,N1,N2,F1,F2
abalone,26,83,2,0.5520515021665444,0.7527156549520767,0.5200053524861669,0.7471573907839617
abalone,26,83,3,0.5562410429784164,0.7412140575079872,0.5393559483023131,0.8749251944943148
abalone,26,83,4,0.5535996817937544,0.7405750798722045,0.5326680887969509,0.8716337522441652
abalone,27,86,0,0.5519024051688416,0.74185303514377,0.5230710298658561,0.8647111643220593
abalone,27,86,1,0.5545268000411544,0.7339743589743589,0.5366098239500189,0.8769829392397486
abalone,27,86,2,0.5517700715802306,0.721405750798722,0.5238157174504248,0.8734290843806104
abalone,27,86,3,0.5521807958954248,0.744408945686901,0.5314267732641323,0.7947336923997607
abalone,27,86,4,0.5574668200937017,0.7610223642172524,0.5463007458010019,0.8803111909036505
abalone,28,88,0,0.5582588089857003,0.7661341853035144,0.5326630527376147,0.8781801855731817
abalone,28,88,1,0.5546556839097548,0.7346153846153847,0.5363758088160202,0.8778808739898234
abalone,28,88,2,0.5551759969363297,0.7463258785942491,0.5311230157548064,0.8782166367444644
abalone,28,88,3,0.558600479514423,0.7635782747603834,0.5476363343089808,0.8788150807899462
abalone,28,88,4,0.5434643049047635,0.7130990415335463,0.5135099324827476,0.7357869539198085
abalone,29,97,0,0.5459905754834165,0.7348242811501597,0.5288528268807284,0.732116132894343
abalone,29,97,1,0.5568256327406002,0.7448717948717949,0.5282948293628339,0.8805746782400479
abalone,29,97,2,0.5556824960910527,0.74185303514377,0.5315429741286531,0.87672052663076
abalone,29,97,3,0.5524020769779483,0.734185303514377,0.537138255295599,0.8746259724715739
abalone,29,97,4,0.5584852147256479,0.7629392971246006,0.5350791723443127,0.87672052663076
